sfm,threshold,fold,direction_code,direction_biological,r_at_1,r_at_5,r_at_10,note
mir-SFM,mmseqs_080,mean_0-4,ab2ag,target→miRNA,68.8 ± 4.4,99.8 ± 0.3,99.8 ± 0.3,5-fold mean (ddof=0)
dtSFM,identity_100,0,ag2ab,drug→target,23.3,40.5,45.4,
dtSFM,identity_100,1,ag2ab,drug→target,25.3,42.3,47.6,
dtSFM,identity_100,2,ag2ab,drug→target,31.3,44.0,47.1,
dtSFM,identity_100,3,ag2ab,drug→target,26.9,40.1,43.9,
dtSFM,identity_100,4 *,ag2ab,drug→target,31.6,46.0,49.5,
dtSFM,identity_100,mean_0-4,ag2ab,drug→target,27.7 ± 3.3,42.6 ± 2.2,46.7 ± 1.9,5-fold mean (ddof=0)
dtSFM,identity_100,0,ab2ag,target→drug,49.5,58.5,63.5,
dtSFM,identity_100,1,ab2ag,target→drug,50.9,61.0,66.9,
dtSFM,identity_100,2,ab2ag,target→drug,65.6,76.3,80.5,
dtSFM,identity_100,3,ab2ag,target→drug,65.8,75.7,79.7,
dtSFM,identity_100,4 *,ab2ag,target→drug,70.8,80.1,84.2,
dtSFM,identity_100,mean_0-4,ab2ag,target→drug,60.5 ± 8.7,70.3 ± 8.8,74.9 ± 8.2,5-fold mean (ddof=0)
dtSFM,mmseqs_080,0,ag2ab,drug→target,46.0,79.9,91.2,
dtSFM,mmseqs_080,1,ag2ab,drug→target,N/A,N/A,N/A,fold not evaluated
dtSFM,mmseqs_080,2,ag2ab,drug→target,N/A,N/A,N/A,fold not evaluated
dtSFM,mmseqs_080,3,ag2ab,drug→target,N/A,N/A,N/A,fold not evaluated
dtSFM,mmseqs_080,4,ag2ab,drug→target,N/A,N/A,N/A,fold not evaluated
dtSFM,mmseqs_080,mean_0,ag2ab,drug→target,46.0 (n=1),79.9 (n=1),91.2 (n=1),single fold (folds 1-4 lack checkpoints)
dtSFM,mmseqs_080,0,ab2ag,target→drug,95.7,95.8,95.9,
dtSFM,mmseqs_080,1,ab2ag,target→drug,N/A,N/A,N/A,fold not evaluated
dtSFM,mmseqs_080,2,ab2ag,target→drug,N/A,N/A,N/A,fold not evaluated
dtSFM,mmseqs_080,3,ab2ag,target→drug,N/A,N/A,N/A,fold not evaluated
dtSFM,mmseqs_080,4,ab2ag,target→drug,N/A,N/A,N/A,fold not evaluated
dtSFM,mmseqs_080,mean_0,ab2ag,target→drug,95.7 (n=1),95.8 (n=1),95.9 (n=1),single fold (folds 1-4 lack checkpoints)
dtSFM,mmseqs_060,0,ag2ab,drug→target,49.0,66.6,92.3,
dtSFM,mmseqs_060,1,ag2ab,drug→target,33.3,37.0,49.9,
dtSFM,mmseqs_060,2,ag2ab,drug→target,39.9,50.3,70.5,
dtSFM,mmseqs_060,3,ag2ab,drug→target,44.8,54.7,64.1,
dtSFM,mmseqs_060,4 *,ag2ab,drug→target,18.3,27.7,33.7,
dtSFM,mmseqs_060,mean_0-3,ag2ab,drug→target,37.1 ± 10.7,47.3 ± 13.6,62.1 ± 19.7,folds 0-3 (fold 4 excluded — degenerate val set)
dtSFM,mmseqs_060,0,ab2ag,target→drug,96.4,97.3,97.6,
dtSFM,mmseqs_060,1,ab2ag,target→drug,90.8,92.4,93.7,
dtSFM,mmseqs_060,2,ab2ag,target→drug,91.1,92.1,92.9,
dtSFM,mmseqs_060,3,ab2ag,target→drug,91.5,92.5,92.8,
dtSFM,mmseqs_060,4 *,ab2ag,target→drug,2.1,9.8,16.0,
dtSFM,mmseqs_060,mean_0-3,ab2ag,target→drug,74.4 ± 36.2,76.8 ± 33.6,78.6 ± 31.3,folds 0-3 (fold 4 excluded — degenerate val set)
dtSFM,mmseqs_040,0,ag2ab,drug→target,31.1,36.5,45.0,
dtSFM,mmseqs_040,1,ag2ab,drug→target,47.9,62.1,77.9,
dtSFM,mmseqs_040,2,ag2ab,drug→target,18.9,22.7,27.2,
dtSFM,mmseqs_040,3,ag2ab,drug→target,67.4,96.3,100.0,
dtSFM,mmseqs_040,4 *,ag2ab,drug→target,8.7,15.7,20.6,
dtSFM,mmseqs_040,mean_0-3,ag2ab,drug→target,34.8 ± 20.9,46.7 ± 29.5,54.1 ± 30.3,folds 0-3 (fold 4 excluded — degenerate val set)
dtSFM,mmseqs_040,0,ab2ag,target→drug,76.3,79.3,79.8,
dtSFM,mmseqs_040,1,ab2ag,target→drug,95.6,97.3,97.4,
dtSFM,mmseqs_040,2,ab2ag,target→drug,61.5,63.4,67.4,
dtSFM,mmseqs_040,3,ab2ag,target→drug,97.6,97.8,98.0,
dtSFM,mmseqs_040,4 *,ab2ag,target→drug,2.2,6.8,10.7,
dtSFM,mmseqs_040,mean_0-3,ab2ag,target→drug,66.6 ± 34.8,68.9 ± 33.6,70.7 ± 32.1,folds 0-3 (fold 4 excluded — degenerate val set)
